City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Bambous Virieux,MU,2022-03-23 21:54:10,-20.3428,57.7575,80.85,78,20,8.05
150,Neyshabur,IR,2022-03-23 21:54:10,36.2133,58.7958,43.16,65,3,2.64
151,Georgetown,MY,2022-03-23 21:54:10,5.4112,100.3354,80.53,93,20,7.0
152,Yeppoon,AU,2022-03-23 21:54:11,-23.1333,150.7333,69.58,62,1,2.3
153,Swidnik,PL,2022-03-23 21:54:11,51.219,22.6962,49.89,40,0,8.05
154,Tevaitoa,PF,2022-03-23 21:54:12,-16.7833,-151.5,81.05,73,99,11.95
155,Saint-Philippe,RE,2022-03-23 21:54:12,-21.3585,55.7679,76.59,84,53,11.1
156,Villa Rica,US,2022-03-23 21:51:36,33.7321,-84.9191,75.67,58,48,11.23
157,Baghdad,IQ,2022-03-23 21:50:22,33.3406,44.4009,58.91,51,0,16.11
158,Mitsamiouli,KM,2022-03-23 21:54:13,-11.3847,43.2844,82.83,76,100,5.26
159,Tigil,RU,2022-03-23 21:54:13,57.8,158.6667,17.35,89,91,6.26
160,Tortoli,IT,2022-03-23 21:54:14,39.9256,9.6572,48.02,49,0,13.8
161,Nadvoitsy,RU,2022-03-23 21:54:14,63.8667,34.3167,30.78,87,35,11.05
162,Sambava,MG,2022-03-23 21:54:14,-14.2667,50.1667,76.75,89,17,7.05
163,Ostrovnoy,RU,2022-03-23 21:54:15,68.0531,39.5131,24.8,95,100,13.85
164,Minab,IR,2022-03-23 21:54:15,27.1467,57.0801,76.69,43,0,3.74
165,Kalangala,UG,2022-03-23 21:54:15,-0.3089,32.225,74.55,68,68,5.21
166,Nangong,CN,2022-03-23 21:54:16,37.3581,115.3744,45.95,89,23,8.12
167,Norman Wells,CA,2022-03-23 21:54:16,65.282,-126.8329,5.04,61,20,11.5
168,Havre,FR,2022-03-23 21:54:17,49.5833,0.3333,49.77,57,0,4.61
169,Ghanzi,BW,2022-03-23 21:54:17,-21.5667,21.7833,70.57,51,40,7.99
170,Lima,PE,2022-03-23 21:50:16,-12.0432,-77.0282,70.05,64,0,11.5
171,Verkhoyansk,RU,2022-03-23 21:54:18,67.5447,133.385,-13.43,100,98,3.56
172,Victoria,HK,2022-03-23 21:50:37,22.2855,114.1577,63.32,93,100,3.0
173,Pascagoula,US,2022-03-23 21:52:06,30.3658,-88.5561,72.5,54,72,11.45
174,Cabo San Lucas,MX,2022-03-23 21:54:18,22.8909,-109.9124,84.61,35,0,6.87
175,Vostok,RU,2022-03-23 21:54:19,46.4856,135.8833,19.56,90,56,3.29
176,Tual,ID,2022-03-23 21:54:19,-5.6667,132.75,81.79,80,100,22.24
177,Tay Ninh,VN,2022-03-23 21:54:20,11.3,106.1,80.6,78,100,5.23
178,Tutoia,BR,2022-03-23 21:54:21,-2.7619,-42.2744,76.53,93,100,7.43
179,Syamzha,RU,2022-03-23 21:54:21,60.0158,41.0614,22.53,98,86,3.4
180,Anakapalle,IN,2022-03-23 21:54:21,17.6833,83.0167,76.08,94,36,2.86
181,Ormara,PK,2022-03-23 21:54:22,25.2088,64.6357,75.72,76,0,13.09
182,Howard Springs,AU,2022-03-23 21:54:22,-12.497,131.047,82.31,97,89,3.74
183,Mayo,US,2022-03-23 21:54:23,38.8876,-76.5119,52.66,87,100,11.5
184,Aquiraz,BR,2022-03-23 21:54:23,-3.9014,-38.3911,80.69,85,100,2.62
185,Thohoyandou,ZA,2022-03-23 21:55:24,-22.9456,30.485,65.7,65,0,3.06
186,Chuy,UY,2022-03-23 21:55:24,-33.6971,-53.4616,73.08,80,100,11.86
187,Chimore,BO,2022-03-23 21:55:25,-16.9833,-65.1333,76.64,95,97,1.95
188,Pisco,PE,2022-03-23 21:55:25,-13.7,-76.2167,75.25,60,0,21.85
189,San Vicente,AR,2022-03-23 21:50:41,-26.6167,-54.1333,65.84,100,96,3.65
190,Makakilo City,US,2022-03-23 21:50:44,21.3469,-158.0858,79.68,62,100,19.57
