City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
289,Gao,ML,87.48,overcast clouds,16.6362,1.637,
292,Tautira,PF,80.51,light rain,-17.7333,-149.15,Pension Oaoa
293,Touros,BR,79.92,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
296,Souillac,MU,75.58,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Bengkulu,ID,75.67,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
303,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
310,Alta Floresta,BR,76.28,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
311,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
312,Warangal,IN,80.1,clear sky,18.0,79.5833,Capital O 66968 Haveli The Landmark
313,Asyut,EG,77.63,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
317,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
318,Veraval,IN,77.04,clear sky,20.9,70.3667,Lords Inn Somnath
319,Loandjili,CG,76.37,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
326,Pasni,PK,80.15,clear sky,25.2631,63.471,Kashmiri Hotal
331,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
339,Mtambile,TZ,81.01,overcast clouds,-5.3833,39.7,
340,Pundaguitan,PH,80.24,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
341,Warora,IN,87.87,clear sky,20.2333,79.0,Datta mandir ward
342,Port Hedland,AU,80.65,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
345,Ewa Beach,US,80.69,scattered clouds,21.3156,-158.0072,Base Lodging
348,Lindsay,US,76.77,clear sky,36.203,-119.0882,Lindsay Inn
351,Mattru,SL,80.33,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
355,Morant Bay,JM,87.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
