City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
151,Tieling,42.2931,123.8414,33.44,54,5,6.87,CN,2022-04-01 21:16:42,clear sky
152,Alberton,46.8168,-64.0654,35.73,98,100,7.58,CA,2022-04-01 21:16:42,light snow
153,Bastrop,32.7562,-91.8724,64.08,43,99,1.99,US,2022-04-01 21:16:43,overcast clouds
154,Kahului,20.8947,-156.47,84.22,48,40,21.85,US,2022-04-01 21:12:41,scattered clouds
155,Acapulco,16.8634,-99.8901,84.02,61,40,8.05,MX,2022-04-01 21:16:43,scattered clouds
156,Dikson,73.5069,80.5464,-5.53,96,62,7.81,RU,2022-04-01 21:16:44,broken clouds
157,Nakatunguru,-2.1167,33.0667,73.15,74,99,15.48,TZ,2022-04-01 21:16:44,overcast clouds
158,Pevek,69.7008,170.3133,-10.91,96,100,5.48,RU,2022-04-01 21:16:45,overcast clouds
159,Nagato,34.3833,131.2,38.19,64,100,8.63,JP,2022-04-01 21:16:45,overcast clouds
160,Bathsheba,13.2167,-59.5167,83.01,61,20,19.57,BB,2022-04-01 21:16:46,few clouds
161,Suwalki,54.1118,22.9309,32.47,58,100,15.88,PL,2022-04-01 21:16:47,overcast clouds
162,Huarmey,-10.0681,-78.1522,74.05,74,84,10.6,PE,2022-04-01 21:16:47,broken clouds
163,Porto Belo,-27.1578,-48.5531,64.35,80,100,10.71,BR,2022-04-01 21:16:48,overcast clouds
164,Rio Grande,-32.035,-52.0986,62.94,63,2,9.08,BR,2022-04-01 21:16:48,clear sky
165,Tarata,-17.6167,-66.0167,74.62,56,67,7.05,BO,2022-04-01 21:16:48,broken clouds
166,Garden City,42.3256,-83.331,38.89,59,100,3.0,US,2022-04-01 21:16:49,overcast clouds
167,Ust-Maya,60.4167,134.5333,-8.37,100,89,2.84,RU,2022-04-01 21:16:49,overcast clouds
168,Muros,42.7762,-9.0603,44.83,67,1,11.99,ES,2022-04-01 21:16:50,clear sky
169,Brae,60.3964,-1.353,37.99,70,29,8.99,GB,2022-04-01 21:16:50,scattered clouds
170,Truth Or Consequences,33.1284,-107.2528,76.91,15,0,6.91,US,2022-04-01 21:16:51,clear sky
171,Finschhafen,-6.6024,147.8681,79.54,79,100,7.63,PG,2022-04-01 21:16:51,moderate rain
172,Provideniya,64.3833,-173.3,25.92,89,100,10.36,RU,2022-04-01 21:16:52,overcast clouds
173,Vila Velha,-20.3297,-40.2925,80.94,85,40,4.61,BR,2022-04-01 21:14:29,scattered clouds
174,Mount Gambier,-37.8333,140.7667,51.24,86,32,6.78,AU,2022-04-01 21:16:53,scattered clouds
175,Atambua,-9.1061,124.8925,70.75,87,8,3.56,ID,2022-04-01 21:16:53,clear sky
176,Magadan,59.5667,150.8,7.68,78,100,6.44,RU,2022-04-01 21:16:54,overcast clouds
177,Salinopolis,-0.6136,-47.3561,75.69,92,100,7.65,BR,2022-04-01 21:16:54,overcast clouds
178,Luxor,25.6989,32.6421,81.77,12,44,5.01,EG,2022-04-01 21:16:55,scattered clouds
179,Sape,-7.0964,-35.2328,79.97,73,89,11.3,BR,2022-04-01 21:16:55,overcast clouds
180,San Luis,-33.295,-66.3356,71.78,20,0,6.11,AR,2022-04-01 21:16:56,clear sky
181,College,64.8569,-147.8028,23.47,32,20,17.27,US,2022-04-01 21:16:56,few clouds
182,Labuhan,-6.8844,112.2051,77.32,83,100,3.71,ID,2022-04-01 21:16:57,overcast clouds
183,Katsuura,35.1333,140.3,44.47,65,65,9.44,JP,2022-04-01 21:17:58,broken clouds
184,Torbay,47.6666,-52.7314,37.27,88,100,16.11,CA,2022-04-01 21:15:23,overcast clouds
185,Constitucion,-35.3333,-72.4167,65.21,63,11,16.26,CL,2022-04-01 21:17:58,few clouds
186,Comodoro Rivadavia,-45.8667,-67.5,75.06,19,0,10.36,AR,2022-04-01 21:17:59,clear sky
187,Port-Cartier,50.0334,-66.8654,32.76,98,100,13.18,CA,2022-04-01 21:17:59,light snow
188,Benguela,-12.5763,13.4055,76.64,85,99,3.83,AO,2022-04-01 21:18:00,light rain
189,Usinsk,65.9939,57.5281,12.61,92,99,11.48,RU,2022-04-01 21:18:00,overcast clouds
190,Alcaudete,37.5909,-4.0824,48.45,73,37,4.68,ES,2022-04-01 21:18:01,scattered clouds
191,Saint-Philippe,-21.3585,55.7679,74.79,93,100,22.1,RE,2022-04-01 21:18:02,heavy intensity rain
192,Prado,-17.3411,-39.2208,78.85,78,0,7.45,BR,2022-04-01 21:18:02,clear sky
193,Mar Del Plata,-38.0023,-57.5575,66.22,77,0,18.99,AR,2022-04-01 21:18:03,clear sky
194,Varna,43.2167,27.9167,60.94,77,100,4.61,BG,2022-04-01 21:18:03,overcast clouds
195,Dayong,25.0209,118.2898,54.88,72,100,3.29,CN,2022-04-01 21:18:04,overcast clouds
196,Dunedin,-45.8742,170.5036,56.8,67,11,7.0,NZ,2022-04-01 21:18:05,few clouds
197,Doha,25.2867,51.5333,82.38,18,0,6.91,QA,2022-04-01 21:18:05,clear sky
198,Strezhevoy,60.7333,77.5889,13.73,96,100,2.68,RU,2022-04-01 21:18:06,overcast clouds
199,Bambanglipuro,-7.95,110.2833,74.61,82,100,3.33,ID,2022-04-01 21:18:06,overcast clouds
200,Puerto Ayora,-0.7393,-90.3518,84.16,91,33,7.0,EC,2022-04-01 21:18:07,scattered clouds
201,Georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,2022-04-01 21:18:07,few clouds
202,Narsaq,60.9167,-46.05,50.22,66,88,6.33,GL,2022-04-01 21:18:07,overcast clouds
203,Turayf,31.6725,38.6637,66.45,20,0,11.5,SA,2022-04-01 21:18:08,clear sky
204,Poum,-20.2333,164.0167,81.19,81,97,8.14,NC,2022-04-01 21:18:09,overcast clouds
205,Manokwari,-0.8667,134.0833,78.87,80,100,5.39,ID,2022-04-01 21:18:09,overcast clouds
206,Manta,-0.95,-80.7333,80.38,83,40,6.91,EC,2022-04-01 21:18:10,scattered clouds
207,Kawambwa,-9.7915,29.0791,62.19,95,93,4.03,ZM,2022-04-01 21:18:10,light rain
208,Ixtapa,20.7,-105.2,74.43,64,40,11.5,MX,2022-04-01 21:18:11,scattered clouds
209,Phan Thiet,10.9333,108.1,76.46,85,100,6.31,VN,2022-04-01 21:18:11,overcast clouds
210,Coolum Beach,-26.5333,153.1,71.11,91,63,4.52,AU,2022-04-01 21:18:12,broken clouds
211,Faanui,-16.4833,-151.75,81.05,74,100,2.89,PF,2022-04-01 21:18:13,light rain
212,Severo-Kurilsk,50.6789,156.125,27.23,65,98,25.34,RU,2022-04-01 21:18:13,overcast clouds
213,Ust-Tsilma,65.441,52.1498,9.52,99,91,4.61,RU,2022-04-01 21:18:14,overcast clouds
214,Cockburn Town,21.4612,-71.1419,77.68,79,0,18.23,TC,2022-04-01 21:18:14,clear sky
215,Mamontovo,52.7055,81.6244,29.16,87,63,8.14,RU,2022-04-01 21:18:15,broken clouds
216,Camabatela,-8.1881,15.375,61.05,94,75,2.59,AO,2022-04-01 21:18:15,broken clouds
217,Port Hardy,50.6996,-127.4199,48.38,71,100,9.22,CA,2022-04-01 21:18:16,overcast clouds
218,Senneterre,48.3835,-77.2328,26.55,84,100,11.79,CA,2022-04-01 21:18:16,light snow
219,Tura,25.5198,90.2201,69.24,90,29,4.14,IN,2022-04-01 21:18:17,scattered clouds
220,Kirakira,-10.4544,161.9205,77.79,88,100,9.75,SB,2022-04-01 21:18:18,moderate rain
221,Poyarkovo,49.6,128.6833,16.03,90,75,4.5,RU,2022-04-01 21:18:18,broken clouds
222,Saint Anthony,45.0205,-93.218,46.92,49,0,11.5,US,2022-04-01 21:18:18,clear sky
223,Lahaina,20.8783,-156.6825,84.2,77,42,10.0,US,2022-04-01 21:18:19,scattered clouds
224,Naze,28.3667,129.4833,61.72,66,100,15.82,JP,2022-04-01 21:18:20,overcast clouds
225,Meulaboh,4.1363,96.1285,78.75,81,100,0.83,ID,2022-04-01 21:18:20,heavy intensity rain
226,Nabire,-3.3667,135.4833,74.93,79,100,4.09,ID,2022-04-01 21:18:21,overcast clouds
227,Coari,-4.085,-63.1414,81.03,92,73,2.26,BR,2022-04-01 21:18:22,heavy intensity rain
228,Klaksvik,62.2266,-6.589,36.52,80,100,21.03,FO,2022-04-01 21:18:22,overcast clouds
229,Burnie,-41.0667,145.9167,54.91,77,97,5.28,AU,2022-04-01 21:18:23,overcast clouds
230,Ambon,-3.6954,128.1814,80.74,78,40,4.61,ID,2022-04-01 21:19:23,scattered clouds
231,Norman Wells,65.282,-126.8329,-7.56,54,20,4.61,CA,2022-04-01 21:19:24,few clouds
232,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,58,20,8.95,RU,2022-04-01 21:19:24,few clouds
233,Honningsvag,70.9821,25.9704,29.95,64,100,16.11,NO,2022-04-01 21:19:25,overcast clouds
234,Kasongo,-4.45,26.6667,71.06,93,94,2.91,CD,2022-04-01 21:19:25,overcast clouds
235,Jaunjelgava,56.6167,25.0833,28.58,64,100,8.95,LV,2022-04-01 21:19:26,overcast clouds
236,Samarai,-10.6167,150.6667,79.9,79,100,10.42,PG,2022-04-01 21:19:27,moderate rain
237,Treuchtlingen,48.95,10.9167,33.39,99,100,10.6,DE,2022-04-01 21:16:57,snow
238,Kodinsk,58.6881,99.1844,19.38,97,100,2.57,RU,2022-04-01 21:19:27,overcast clouds
239,Ginda,30.6945,78.4932,57.72,22,0,7.07,IN,2022-04-01 21:19:28,clear sky
240,Tuatapere,-46.1333,167.6833,50.29,79,19,3.04,NZ,2022-04-01 21:19:28,few clouds
241,Komsomolskiy,40.4272,71.7189,57.92,44,44,9.22,UZ,2022-04-01 21:19:29,scattered clouds
242,Lander,42.833,-108.7307,53.11,39,0,4.61,US,2022-04-01 21:19:30,clear sky
243,Roma,43.2128,-75.4557,38.95,84,100,20.71,US,2022-04-01 21:18:03,light rain
244,Faya,18.3851,42.4509,64.51,18,45,6.82,SA,2022-04-01 21:19:30,scattered clouds
245,Kulhudhuffushi,6.6221,73.07,82.58,71,10,6.71,MV,2022-04-01 21:19:31,clear sky
246,Sao Filipe,14.8961,-24.4956,71.78,80,18,9.44,CV,2022-04-01 21:19:31,few clouds
247,Upernavik,72.7868,-56.1549,11.48,94,100,8.68,GL,2022-04-01 21:19:32,overcast clouds
248,Clarence Town,-32.5833,151.7833,62.85,73,100,9.48,AU,2022-04-01 21:19:32,overcast clouds
249,Longyearbyen,78.2186,15.6401,-2.36,71,20,12.66,SJ,2022-04-01 21:15:35,few clouds
250,Chazuta,-6.5742,-76.1367,81.45,98,94,2.62,PE,2022-04-01 21:19:33,overcast clouds
251,Quimper,48.0,-4.1,41.56,70,0,9.22,FR,2022-04-01 21:19:33,clear sky
252,Sao Borja,-28.6606,-56.0044,66.94,64,0,6.89,BR,2022-04-01 21:19:34,clear sky
253,Uruzgan,32.8333,66.0,59.14,20,0,3.31,AF,2022-04-01 21:19:35,clear sky
254,Wanning,18.8003,110.3967,66.33,94,100,19.22,CN,2022-04-01 21:19:35,overcast clouds
255,Owando,-0.4819,15.8999,71.94,97,100,2.8,CG,2022-04-01 21:19:36,overcast clouds
256,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.48,75,91,7.47,BR,2022-04-01 21:19:36,overcast clouds
257,Alice Springs,-23.7,133.8833,47.75,61,99,6.91,AU,2022-04-01 21:15:38,overcast clouds
258,San Quintin,30.4833,-115.95,64.22,58,0,11.83,MX,2022-04-01 21:19:37,clear sky
259,Tiksi,71.6872,128.8694,14.5,93,100,6.46,RU,2022-04-01 21:19:37,overcast clouds
